SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat,date,YEAR
46643051,5/22/08,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,25-44,M,UNKNOWN,0,BRONX,40,1006763,236698,40.816336593,-73.9186674409999,POINT (-73.91866744099997 40.81633659300008),2008-05-22T00:00:00Z,2008
80403646,8/19/11,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,18-24,M,UNKNOWN,0,BRONX,46,1013888,253284,40.861839285,-73.8928532719999,POINT (-73.89285327199997 40.86183928500003),2011-08-19T00:00:00Z,2011
109457748,4/5/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,45-64,M,UNKNOWN,0,BROOKLYN,69,1011359,174331,40.64514168,-73.9023144779999,POINT (-73.90231447799994 40.645141680000044),2014-04-05T00:00:00Z,2014
138697052,9/12/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,45-64,M,UNKNOWN,0,MANHATTAN,13,989110,209843,40.742654056,-73.9824628659999,POINT (-73.98246286599993 40.74265405600005),2014-09-12T00:00:00Z,2014
138814387,9/20/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,<18,M,UNKNOWN,2,BROOKLYN,79,999812,193525,40.697852725,-73.9438796319999,POINT (-73.94387963199993 40.697852725000075),2014-09-20T00:00:00Z,2014
138804923,9/20/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,18-24,M,UNKNOWN,0,BRONX,46,1011425,251298,40.856396239,-73.9017656269999,POINT (-73.90176562699997 40.85639623900005),2014-09-20T00:00:00Z,2014
138906415,9/24/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,18-24,M,UNKNOWN,0,BRONX,48,1016691,250307,40.853658463,-73.8827342019999,POINT (-73.88273420199994 40.853658463000045),2014-09-24T00:00:00Z,2014
138915197,9/25/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,18-24,M,UNKNOWN,0,BROOKLYN,94,995613,201098,40.718645207,-73.9590098589999,POINT (-73.95900985899993 40.71864520700007),2014-09-25T00:00:00Z,2014
138888104,9/25/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,25-44,M,UNKNOWN,0,BRONX,48,1015005,248295,40.848142155,-73.8888379519999,POINT (-73.88883795199997 40.84814215500006),2014-09-25T00:00:00Z,2014
138887935,9/25/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,25-44,M,UNKNOWN,0,MANHATTAN,34,1006118,254594,40.865457504,-73.9209393169999,POINT (-73.92093931699996 40.86545750400006),2014-09-25T00:00:00Z,2014
138944156,9/26/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,25-44,M,UNKNOWN,0,BRONX,40,1005630,237083,40.817396125,-73.9227594669999,POINT (-73.92275946699993 40.81739612500007),2014-09-26T00:00:00Z,2014
138905936,9/26/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,25-44,M,UNKNOWN,0,MANHATTAN,25,1001312,231864,40.803080813,-73.9383728609999,POINT (-73.93837286099993 40.80308081300007),2014-09-26T00:00:00Z,2014
138888119,9/26/14,JAYWALKING,4-Apr,Traffic Regs,TRAFFIC REGS,25-44,M,UNKNOWN,0,BRONX,46,1011653,251798,40.857767884,-73.9009393789999,POINT (-73.90093937899996 40.85776788400005),2014-09-26T00:00:00Z,2014
